Date,Trading method,Allocation no,Asset,Weight of asset(%)Asset price,Amount to buy ,Total spending,Timeframe
"Dec 30, 2020",One-off,123,cash,0.1,1,10000,10000,
"Dec 30, 2020",One-off,124,stocks,0.75,203.32,368,74821.76,
"Dec 30, 2020",One-off,124,sbonds,0.0,203.32,0,0.0,
"Dec 30, 2020",One-off,124,sbonds,0.0,253.84,0,0.0,
"Dec 30, 2020",One-off,124,gold,0.1,177.7,56,9951.2,
"Dec 30, 2020",One-off,124,cash,0.15,1,15000,15000,
"Dec 30, 2020",One-off,125,stocks,0.75,203.32,368,74821.76,
"Dec 30, 2020",One-off,125,sbonds,0.0,203.32,0,0.0,
"Dec 30, 2020",One-off,125,sbonds,0.0,253.84,0,0.0,
"Dec 30, 2020",One-off,125,gold,0.05,177.7,28,4975.6,
"Dec 30, 2020",One-off,125,cash,0.2,1,20000,20000,
"Dec 30, 2020",One-off,126,stocks,0.75,203.32,368,74821.76,
"Dec 30, 2020",One-off,126,sbonds,0.0,203.32,0,0.0,
"Dec 30, 2020",One-off,126,sbonds,0.0,253.84,0,0.0,
"Dec 30, 2020",One-off,126,gold,0.0,177.7,0,0.0,
"Dec 30, 2020",One-off,126,cash,0.25,1,25000,25000,
"Dec 30, 2020",One-off,127,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,127,sbonds,0.3,203.32,147,29888.04,
"Dec 30, 2020",One-off,127,sbonds,0.0,253.84,0,0.0,
"Dec 30, 2020",One-off,127,gold,0.0,177.7,0,0.0,
"Dec 30, 2020",One-off,127,cash,0.0,1,0,0,
"Dec 30, 2020",One-off,128,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,128,sbonds,0.25,203.32,122,24805.04,
"Dec 30, 2020",One-off,128,sbonds,0.05,253.84,19,4822.96,
"Dec 30, 2020",One-off,128,gold,0.0,177.7,0,0.0,
"Dec 30, 2020",One-off,128,cash,0.0,1,0,0,
"Dec 30, 2020",One-off,129,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,129,sbonds,0.25,203.32,122,24805.04,
"Dec 30, 2020",One-off,129,sbonds,0.0,253.84,0,0.0,
"Dec 30, 2020",One-off,129,gold,0.05,177.7,28,4975.6,
"Dec 30, 2020",One-off,129,cash,0.0,1,0,0,
"Dec 30, 2020",One-off,130,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,130,sbonds,0.25,203.32,122,24805.04,
"Dec 30, 2020",One-off,130,sbonds,0.0,253.84,0,0.0,
"Dec 30, 2020",One-off,130,gold,0.0,177.7,0,0.0,
"Dec 30, 2020",One-off,130,cash,0.05,1,5000,5000,
"Dec 30, 2020",One-off,131,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,131,sbonds,0.2,203.32,98,19925.36,
"Dec 30, 2020",One-off,131,sbonds,0.1,253.84,39,9899.76,
"Dec 30, 2020",One-off,131,gold,0.0,177.7,0,0.0,
"Dec 30, 2020",One-off,131,cash,0.0,1,0,0,
"Dec 30, 2020",One-off,132,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,132,sbonds,0.2,203.32,98,19925.36,
"Dec 30, 2020",One-off,132,sbonds,0.05,253.84,19,4822.96,
"Dec 30, 2020",One-off,132,gold,0.05,177.7,28,4975.6,
"Dec 30, 2020",One-off,132,cash,0.0,1,0,0,
"Dec 30, 2020",One-off,133,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,133,sbonds,0.2,203.32,98,19925.36,
"Dec 30, 2020",One-off,133,sbonds,0.05,253.84,19,4822.96,
"Dec 30, 2020",One-off,133,gold,0.0,177.7,0,0.0,
"Dec 30, 2020",One-off,133,cash,0.05,1,5000,5000,
"Dec 30, 2020",One-off,134,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,134,sbonds,0.2,203.32,98,19925.36,
"Dec 30, 2020",One-off,134,sbonds,0.0,253.84,0,0.0,
"Dec 30, 2020",One-off,134,gold,0.1,177.7,56,9951.2,
"Dec 30, 2020",One-off,134,cash,0.0,1,0,0,
"Dec 30, 2020",One-off,135,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,135,sbonds,0.2,203.32,98,19925.36,
"Dec 30, 2020",One-off,135,sbonds,0.0,253.84,0,0.0,
"Dec 30, 2020",One-off,135,gold,0.05,177.7,28,4975.6,
"Dec 30, 2020",One-off,135,cash,0.05,1,5000,5000,
"Dec 30, 2020",One-off,136,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,136,sbonds,0.2,203.32,98,19925.36,
"Dec 30, 2020",One-off,136,sbonds,0.0,253.84,0,0.0,
"Dec 30, 2020",One-off,136,gold,0.0,177.7,0,0.0,
"Dec 30, 2020",One-off,136,cash,0.1,1,10000,10000,
"Dec 30, 2020",One-off,137,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,137,sbonds,0.15,203.32,73,14842.36,
"Dec 30, 2020",One-off,137,sbonds,0.15,253.84,59,14976.56,
"Dec 30, 2020",One-off,137,gold,0.0,177.7,0,0.0,
