Date,Trading method,Allocation no,Asset,Weight of asset,Asset price,Amount to buy,Total spending,Investment period
"Jul 01, 2020",One-off,117,sbonds,0.05,261.9,19,4976.1,3
"Jul 01, 2020",One-off,117,gold,0.15,166.62,90,14995.8,3
"Jul 01, 2020",One-off,117,cash,0.05,1,5000,5000,3
"Jul 01, 2020",One-off,118,stocks,0.75,181.47,413,74947.11,3
"Jul 01, 2020",One-off,118,cbonds,0.0,83.04,0,0.0,3
"Jul 01, 2020",One-off,118,sbonds,0.05,261.9,19,4976.1,3
"Jul 01, 2020",One-off,118,gold,0.1,166.62,60,9997.2,3
"Jul 01, 2020",One-off,118,cash,0.1,1,10000,10000,3
"Jul 01, 2020",One-off,119,stocks,0.75,181.47,413,74947.11,3
"Jul 01, 2020",One-off,119,cbonds,0.0,83.04,0,0.0,3
"Jul 01, 2020",One-off,119,sbonds,0.05,261.9,19,4976.1,3
"Jul 01, 2020",One-off,119,gold,0.05,166.62,30,4998.6,3
"Jul 01, 2020",One-off,119,cash,0.15,1,15000,15000,3
"Jul 01, 2020",One-off,120,stocks,0.75,181.47,413,74947.11,3
"Jul 01, 2020",One-off,120,cbonds,0.0,83.04,0,0.0,3
"Jul 01, 2020",One-off,120,sbonds,0.05,261.9,19,4976.1,3
"Jul 01, 2020",One-off,120,gold,0.0,166.62,0,0.0,3
"Jul 01, 2020",One-off,120,cash,0.2,1,20000,20000,3
"Jul 01, 2020",One-off,121,stocks,0.75,181.47,413,74947.11,3
"Jul 01, 2020",One-off,121,cbonds,0.0,83.04,0,0.0,3
"Jul 01, 2020",One-off,121,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,121,gold,0.25,166.62,150,24993.0,3
"Jul 01, 2020",One-off,121,cash,0.0,1,0,0,3
"Jul 01, 2020",One-off,122,stocks,0.75,181.47,413,74947.11,3
"Jul 01, 2020",One-off,122,cbonds,0.0,83.04,0,0.0,3
"Jul 01, 2020",One-off,122,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,122,gold,0.2,166.62,120,19994.4,3
"Jul 01, 2020",One-off,122,cash,0.05,1,5000,5000,3
"Jul 01, 2020",One-off,123,stocks,0.75,181.47,413,74947.11,3
"Jul 01, 2020",One-off,123,cbonds,0.0,83.04,0,0.0,3
"Jul 01, 2020",One-off,123,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,123,gold,0.15,166.62,90,14995.8,3
"Jul 01, 2020",One-off,123,cash,0.1,1,10000,10000,3
"Jul 01, 2020",One-off,124,stocks,0.75,181.47,413,74947.11,3
"Jul 01, 2020",One-off,124,cbonds,0.0,83.04,0,0.0,3
"Jul 01, 2020",One-off,124,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,124,gold,0.1,166.62,60,9997.2,3
"Jul 01, 2020",One-off,124,cash,0.15,1,15000,15000,3
"Jul 01, 2020",One-off,125,stocks,0.75,181.47,413,74947.11,3
"Jul 01, 2020",One-off,125,cbonds,0.0,83.04,0,0.0,3
"Jul 01, 2020",One-off,125,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,125,gold,0.05,166.62,30,4998.6,3
"Jul 01, 2020",One-off,125,cash,0.2,1,20000,20000,3
"Jul 01, 2020",One-off,126,stocks,0.75,181.47,413,74947.11,3
"Jul 01, 2020",One-off,126,cbonds,0.0,83.04,0,0.0,3
"Jul 01, 2020",One-off,126,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,126,gold,0.0,166.62,0,0.0,3
"Jul 01, 2020",One-off,126,cash,0.25,1,25000,25000,3
"Jul 01, 2020",One-off,127,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,127,cbonds,0.3,83.04,361,29977.44,3
"Jul 01, 2020",One-off,127,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,127,gold,0.0,166.62,0,0.0,3
"Jul 01, 2020",One-off,127,cash,0.0,1,0,0,3
"Jul 01, 2020",One-off,128,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,128,cbonds,0.25,83.04,301,24995.04,3
"Jul 01, 2020",One-off,128,sbonds,0.05,261.9,19,4976.1,3
"Jul 01, 2020",One-off,128,gold,0.0,166.62,0,0.0,3
"Jul 01, 2020",One-off,128,cash,0.0,1,0,0,3
"Jul 01, 2020",One-off,129,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,129,cbonds,0.25,83.04,301,24995.04,3
"Jul 01, 2020",One-off,129,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,129,gold,0.05,166.62,30,4998.6,3
