Method,Cost,Volatility,Return
One-off,1721.41199999999,0.08523083117107433,0.010031006109900709
Oneoff-rebal,6885.647999999784,1.617634029191102,0.010031006109900709
DCA,5164.235999999805,51.449756104009424,-100.0
DCA-rebal,12049.884000000324,57.9502817084723,-100.0
